Código de instalación;Código de compañía;Cod Alternat;Códigos Calculados;Artic Padre;Cod Pre-pack;Ratio de preempacado;Unidades de empacado;Cod EAN Prod;Parte b;Parte c;Parte d;Parte e;Parte f;Total de LPN de salida;Total Act;Activa asignada;Activa disponible;Total de LPN de entrada;LPN de entrada asignada;LPN de entrada disponible;LPN de entrada sin verificar;Total asignado;Total disponible;Total de inventario;Resumen de inventario interno;Unidades secundarias de resumen de inventario interno;Cantidad de orden abierta
B100;FARMACORP;="7771805000078";="7771805000078";False;;0;0;="7771805000078";;;;;;0;0;0;0;52;6;46;0;6;46;52;52;52;0
B100;FARMACORP;="7771805000146";="7771805000146";False;;0;0;="7771805000146";;;;;;0;0;0;0;3;0;0;0;0;0;3;3;3;0
B100;FARMACORP;="7771805000153";="7771805000153";False;;0;0;="7771805000153";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771805000207";="7771805000207";False;;0;0;="7771805000207";;;;;;0;0;0;0;58;0;55;0;0;55;58;58;58;0
B100;FARMACORP;="7771805000214";="7771805000214";False;;0;0;="7771805000214";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771808000068";="7771808000068";False;;0;0;="7771808000068";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771808000327";="7771808000327";False;;0;0;="7771808000327";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817080044";="7771817080044";False;;0;0;="7771817080044";;;;;;0;0;0;0;46;0;46;0;0;46;46;46;46;0
B100;FARMACORP;="7771817080167";="7771817080167";False;;0;0;="7771817080167";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817080198";="7771817080198";False;;0;0;="7771817080198";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817080235";="7771817080235";False;;0;0;="7771817080235";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817080242";="7771817080242";False;;0;0;="7771817080242";;;;;;0;0;0;0;3;0;3;0;0;3;3;3;3;0
B100;FARMACORP;="7771817080358";="7771817080358";False;;0;0;="7771817080358";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817080662";="7771817080662";False;;0;0;="7771817080662";;;;;;2;0;0;0;1;0;1;0;0;1;1;3;3;0
B100;FARMACORP;="7771817081065";="7771817081065";False;;0;0;="7771817081065";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817081072";="7771817081072";False;;0;0;="7771817081072";;;;;;0;0;0;0;11;0;11;0;0;11;11;11;11;0
